CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,,,,,,,,,,,,,,,,
Fredericksburg,Hurkamp Park; along College Avenue; Fredericksburg Police headquarters on Cowan Boulevard,,VA,US,2020-06-28,hundreds,200,,200,,,general protesetors,Back the Blue,0,rally; march,0,0,0,0,1,1,https://roanoke.com/news/virginia/watch-now-hundreds-attend-fredericksburg-rally-to-support-the-police/article_2a505538-7f39-5332-adcf-15eccd037c19.html,,,,0,,,,,,,,,,,,,,,,,,
Howell,Howell City Hall; downtown Howell,,MI,US,2020-06-28,more than 40,40,,40,,,general protesters,"""Drop The Lawsuit AMR Protest""; in protest of Adam Merkel Restaurants",0,protest,0,0,0,0,1,1,https://www.livingstondaily.com/story/news/local/community/howell/2020/06/25/protest-planned-howell-after-ex-restaurant-employees-sued/3256887001/,,,,,,,,,,,,,,,,,,,,,,
Kansas City,outside Shawnee Justice Center,,MO,US,2020-06-28,about 30,30,,30,,,general protestors,Back the Blue,0,rally,0,0,0,0,1,1,https://www.kshb.com/news/local-news/law-enforcement-supporters-rally-outside-shawnee-justice-center,,,,0,,,,,,,,,,,,,,,,,,
Kilgore,outside Tee Allen parker's bar establishment,,TX,US,2020-06-28,,,,,,,bar owners,open bars after Covid mandate,0,protest,0,0,0,0,1,1,https://www.bellinghamherald.com/news/coronavirus/article243913252.html,,,,0,,,,,,,,,,,,,,,,,,
Nashville,Legislative Plaza,,TN,US,2020-06-28,,,,,,,general protestors,Back the Badge; in support of law enforcement,2,rally,40,0,0,0,1,1,https://www.wkrn.com/news/nashville-protests/thp-36-adults-2-juveniles-in-custody-following-back-the-badge-protest-on-capitol-hill/,https://www.wsmv.com/news/nearly-40-protesters-taken-into-custody-following-protest-at-state-capitol/article_d50bb2a6-b993-11ea-90f5-cf50e9808130.html,https://www.newschannel5.com/news/back-the-badge-demonstrators-rally-at-state-capitol,,,,,,,,,,,,,,,,,,,,
Plattsburgh,Trinity Park,,NY,US,2020-06-28,"""the protest's Facebook event page showed 76 people had marked they were going and 209 were interested""",76,,209,,,general protestors,"""in support of transgender individuals' rights""",0,protest,0,0,0,0,1,1,https://www.pressrepublican.com/news/coronavirus/trans-rights-protest-set-for-sunday/article_8c0838ad-ea85-583d-99cf-4a4c665b6318.html,,,,,,,,,,,,,,,,,,,,,,
Prineville,Ochoco Creek Park near the Elm Street bridge,,OR,US,2020-06-28,about 50,50,,50,,,general protestors,supporting LGBT,0,march,0,0,0,0,1,1,https://pamplinmedia.com/ceo/162-news/471968-381809-local-prideville-march-held-to-support-diversity,,,,0,,,,,,,,,,,,,,,,,,
Punta Gorda,"Laishley Park, 100 Nesbit St.",,FL,US,2020-06-28,,,,,,,police supporters,Turn the Bridge Blue Unity Walk; pro-police,0,rally; walk,,,,,1,1,https://www.yoursun.com/northport/news/wont-cop-out-group-plans-pro-police-rally-love-overcomes/article_16518d4c-b71b-11ea-ba27-efc91f17baad.html,,,,,,,,,,,,,,,,,,,,,,
San Quentin,San Quentin State Prison,,CA,US,2020-06-28,FB: 150,150,,150,,,Ella Baker Center for Human Rights; Restore Justice,seek release of inmates due to Covid 19,1,protest,,,,,1,1,https://www.facebook.com/events/964386884002630,,,,,,,,,,,,,,,,,,,,,,
Seattle,Mayor Jenny Durkan's House,,WA,US,2020-06-28,,,,,,,general protesters,against the Mayor dismantling the CHOP zone,0,protest,0,0,0,0,1,1,https://www.washingtonexaminer.com/news/seattle-mayor-slams-protesters-for-showing-no-regard-for-her-safety-as-demonstrators-circle-her-home,,,,0,,,,,,,,,,,,,,,,,,
Springfield,Park Central Square; Police Headquarters,,MO,US,2020-06-28,,,,,,,general protesters,"Back the Blue, support police",0,rally,0,0,0,0,1,1,https://www.ky3.com/content/news/Back-The-Blue-rally-preparations-underway-counterprotesters-arrive-in-downtown-Springfield-571528421.html,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,Luther Church of the Resurrection on Nagel Road,,OH,US,2020-06-29,about 130,130,,130,,,churchgoers,supporting LGBT people after a Pride display was vandalized,0,rally,0,0,0,0,1,1,https://www.cincinnati.com/story/news/2020/06/30/congregation-comes-together-after-pride-display-church-vandalized/5349966002/,,,,0,,,,,,,,,,,,,,,,,,
Johnson City,"Volunteer Pawn, West Walnut St",,TN,US,2020-06-29,,2,,,,,general protesters,"Back the Blue, support police",0,counter-protest,1,1,,,1,1,https://www.johnsoncitypress.com/tensions-flare-protest-erupts-outside-local-pawn-shop/article_ac6f7e6d-6862-564b-9482-413adacbd294.html,,,,,,,,,,,,,,,,,,,,,,
Norco,Norco City Hall,,CA,US,2020-06-29,outnumbered 2 to 1 (referring to 50 college students),100,,100,,,general protesters,pro-Trump,2,counter-protest,,,,,1,1,https://www.newsbreak.com/california/norco/news/1592395846981/black-lives-matter-rally-in-norco-met-by-counter-protest,,,,,,,,,,,,,,,,,,,,,,
Provo,University St and Center St,,UT,US,2020-06-29,,,,,,,general protesters,"Back the Blue, support police",0,rally,2,,,,1,1,https://www.heraldextra.com/news/local/central/provo/protest-aftermath-police-seeking-information-regarding-shooting-hit-and-run-incidents/article_70804b23-1aca-5931-9a00-db341c41c4eb.html,https://www.heraldextra.com/news/local/central/provo/second-man-arrested-for-allegedly-brandishing-firearm-at-protest/article_97f9e5d0-7d49-5028-81ff-4b8a719bf57f.html?block_id=1682681,https://www.heraldextra.com/news/local/central/provo/authorities-arrest-sandy-man-for-organizing-provo-protest-in-late-june/article_816362c7-f774-55e7-ad67-304a1fbb6206.html,"shots were fired, one driver injured",,,,,,,,,,,,,,,,,,,
Spokane,near Spokane City Hall,,WA,US,2020-06-29,several dozen,36,,36,,,general protesters,support of DACA program,1,rally,0,0,0,0,1,1,https://www.spokesman.com/galleries/2020/jun/29/candlelight-vigil-for-daca-at-city-hall/,,,,0,,,,,,,,,,,,,,,,,,
Tulsa,Tulsa Police Department ,,OK,US,2020-06-29,hundreds,200,,200,,,general protesters,supporting officers who were shot during traffic stop,0,rally,0,0,0,0,1,1,https://www.foxnews.com/us/tulsa-community-rallies-support-for-2-officers-shot-during-traffic-stop-with-prayers-flowers,,,,0,,,,,,,,,,,,,,,,,,
Amarillo,Amarillo’s City Hall,,TX,US,2020-06-30,about 200,200,,200,,,bar owners,against bar closures,0,protest,0,0,0,0,1,1,https://www.newschannel10.com/2020/06/30/amarillo-community-comes-together-protest-against-bar-closures/,https://www.amarillo.com/story/news/coronavirus/2020/06/30/owners-community-members-protest-statewide-closure-of-bars-during-covid-19-pandemic/42432519/,,,0,,,,,,,,,,,,,,,,,,
Austin,outside the Texas State Capitol towards the Governor's Mansion,,TX,US,2020-06-30,dozens,24,,24,,,bar workers,against governor's decision to shut down bars,0,protest,0,0,0,0,1,1,https://www.kxan.com/news/coronavirus/protest-over-bar-shutdown-scheduled-for-11-a-m-at-texas-state-capitol/,,,,0,,,,,,,,,,,,,,,,,,
Boise,"near the Capitol, at Jefferson at Sixth streets",,ID,US,2020-06-30,,,,,,,Idaho Liberty Dogs,supporting law enforcement,2,counter-protest,,,,,1,1,https://www.idahopress.com/news/local/defund-the-police-rally-and-defend-not-defund-counterprotest-happening-in-boise-today/article_afc9e874-36a6-5b75-b67b-f13a879f1fcf.html,,,,,,,,,,,,,,,,,,,,,,
Raleigh,outside the North Carolina Executive Mansion,,NC,US,2020-06-30,,,,,,,general protestors,against legislation protestors feel could hide critical information from the public,0,protest; demonstration,4,0,0,0,1,1,https://abc11.com/politics/nc-senate-bill-168-causes-controversy-protesters-ask-cooper-to-veto/6283858/,,,,0,,,,,,,,,,,,,,,,,,
Saint Paul,State Capitol,,MN,US,2020-06-30,,,,,,,general protesters,"for justice for Oromos in Ethiopia, against killing of Hachalu Hundessa",0,rally,,,,,1,1,https://www.twincities.com/2020/07/05/hachalu-hundessa-mn-st-paul-rally-ethiopians-oromo/,,,,,,,,,,,,,,,,,,,,,,
